,N,Z,A,m,be,be_RFR,be_XGB,be_MLP,BE_SEMF,be_a_semf,be_a_RFR,be_a_XGB,be_a_MLP,be_a
43,17,12,29,28.9886,235.7558266,225.4356745,223.9379,234.2444702,237.7548087,8.198441679,7.773643948275862,7.721996551724138,8.07739552413793,8.129511262
44,16,13,29,28.98044505,242.6135261,233.5478206,237.91745,239.2435188,245.2765561,8.457812278,8.05337312413793,8.20405,8.249776510344828,8.365983659
45,15,14,29,28.9764947,245.5567429,232.9833276,234.48364,241.7463667,245.7975295,8.47577688,8.033907848275861,8.08564275862069,8.336081610344827,8.467473893
46,19,10,29,29.01938593,208.5632438,208.3996282,199.7313,204.2184962,201.7089921,6.955482488,7.186194075862069,6.887286206896552,7.042017110344828,7.191835993
47,18,12,30,29.990434,242.11586,239.2943971,237.87883,241.5817311,241.9985196,8.066617321,7.976479903333333,7.929294333333333,8.05272437,8.070528667
48,14,16,30,29.98490325,244.3267523,242.2729472,250.4903,243.5473506,242.5658533,8.085528445,8.075764906666667,8.349676666666666,8.11824502,8.144225077
49,19,11,30,30.008976,225.587817,228.7678648,225.77148,225.8602997,224.9125813,7.497086043,7.625595493333334,7.525716,7.528676656666667,7.5195939
50,21,10,31,31.03311,211.9211094,212.0866163,204.7717,207.3076034,199.7182754,6.442525012,6.841503751612903,6.60553870967742,6.687342045161291,6.836164819
51,19,12,31,30.996546,244.4930754,246.7160687,237.12007,245.594824,245.2574254,7.91152985,7.958582861290322,7.649034516129032,7.922413677419354,7.8868734
52,17,14,31,30.97536323,262.7451163,261.4840386,258.10596,258.9087178,264.5213904,8.532948077,8.434968987096775,8.32599870967742,8.351894122580644,8.475648913
53,20,12,32,31.998975,250.2991638,251.1503048,245.61354,248.5075547,247.6257149,7.738303591,7.848447025,7.675423125,7.765861084375,7.821848869
54,16,17,33,32.97745189,274.7318716,272.4372167,279.8773,278.3527373,275.6074555,8.351741076,8.255673233333335,8.481130303030303,8.434931433333333,8.32520823
55,23,10,33,33.04938,212.9087142,217.9881448,221.13487,210.4244759,195.296048,5.918062061,6.605701357575757,6.701056666666667,6.37649926969697,6.451779218
56,20,13,33,32.99084334,265.2026677,265.3694772,269.34058,267.093525,266.8479371,8.086301123,8.04149930909091,8.161835757575757,8.093743181818182,8.036444476
57,16,18,34,33.98027124,279.4399852,274.3131331,276.2107,278.9924707,278.7412119,8.198270939,8.068033326470589,8.123844117647058,8.205660902941176,8.218823094
58,16,19,35,34.98800969,279.5684166,275.7969339,279.68066,278.7392621,280.3607154,8.010306154,7.879912397142857,7.990876,7.963978917142858,7.987669046
59,17,18,35,34.97525759,292.1751807,293.7464749,289.6245,295.2227918,293.6028295,8.388652273,8.392756425714285,8.274985714285714,8.434936908571428,8.347862306
60,23,12,35,35.01734,257.403811,259.178934,256.7695,253.585719,250.1663813,7.147610895,7.405112400000001,7.336271428571428,7.2453062571428575,7.3543946
61,16,20,36,35.99308706,282.1743135,276.4576892,281.8343,278.4619557,280.5732471,7.793701307,7.6793802555555555,7.8287305555555555,7.735054324999999,7.838175375
62,21,15,36,35.97825968,299.6513993,299.9046554,299.08878,300.6205478,304.0124747,8.444790965,8.330684872222223,8.308021666666667,8.350570772222222,8.323649981
63,23,14,37,36.99293608,294.7897173,299.9926205,294.68442,294.4591319,294.3867634,7.956399012,8.107908662162162,7.964443783783784,7.958354916216216,7.967289657
64,25,12,37,37.0314,260.4489258,261.1712305,253.31564,256.6784898,248.6877532,6.721290628,7.058681905405405,6.846368648648649,6.937256481081081,7.039160157
65,22,15,37,36.97960895,306.4627163,308.9730196,304.3172,307.9509872,308.9096686,8.348909962,8.35062215135135,8.22478918918919,8.322999654054053,8.282776116
66,20,18,38,37.96273239,328.0386041,322.2254136,326.2921,329.5863657,330.1002841,8.686849583,8.479616147368422,8.586634210526316,8.673325413157894,8.632594845
