,0
161,1761.4885
162,670.66504
163,1163.5186
164,128.59862
165,456.4295
166,1877.614
167,1840.025
168,178.06181
169,1828.7545
170,79.01628
171,1248.3561
172,1000.35913
173,573.67615
174,1083.5698
175,992.256
176,1178.0001
177,189.83006
178,1421.6787
179,1728.1835
180,245.61354
181,412.01956
182,-2.028259
183,1864.6918
184,253.31564
185,302.92902
186,1266.4825
187,1133.0447
188,328.3349
189,1108.6406
190,461.8334
191,1459.7683
192,859.49536
193,34.809223
194,798.1643
195,2007.8884
196,30.711208
197,118.87594
198,1828.542
199,1730.4551
200,1018.7339
201,708.48364
202,217.40733
203,1652.5117
204,574.41705
205,1701.8534
206,237.87883
207,1373.1672
208,1228.3168
209,1989.182
210,718.28174
211,1347.3359
212,1318.2445
213,1316.9133
214,805.7483
215,438.3703
216,1404.0917
217,1297.4158
218,1375.8397
219,314.87225
220,1740.9034
221,902.23083
222,1089.6609
223,894.6721
224,1074.7747
225,1331.3429
226,304.3172
227,917.1127
228,1786.132
229,1042.4547
230,886.76355
231,1340.951
232,1133.025
233,1556.5428
234,215.70433
235,1881.9081
236,1415.4585
237,171.91579
238,1878.6527
239,1213.8274
240,1367.0453
241,789.56506
242,1027.192
243,276.2107
244,895.50586
245,1277.3
246,1118.7189
247,1801.8386
248,250.4903
249,1297.1237
250,1286.6918
251,1517.5658
252,330.91995
253,1703.8539
254,581.67426
255,2025.7787
256,1927.702
257,1197.6951
258,752.1583
259,1625.1698
260,299.08878
261,904.3975
262,1689.3265
263,1588.0618
264,561.23004
265,478.36902
266,901.44995
267,1356.8512
268,728.2277
269,837.5513
270,821.3967
271,1680.233
272,543.79785
273,1814.3656
274,1444.8157
275,1238.79
276,696.7754
277,453.02515
278,970.4034
279,396.05295
280,223.9379
281,672.72095
282,453.24246
283,1450.3656
284,430.29977
285,1141.7737
286,1392.9827
287,1129.2039
288,738.26984
289,1309.7175
290,1425.8187
291,775.5262
292,1109.5906
293,1334.3695
294,1242.8542
295,1210.1272
296,1850.1848
297,1294.8855
298,1151.153
299,1439.0024
300,1361.4954
301,1064.8265
302,866.81836
303,1833.3107
304,302.89365
305,258.10596
306,905.3062
307,121.83342
308,1253.3401
309,1931.101
310,1873.8314
311,539.6861
312,1287.6116
313,661.257
314,1594.6273
315,1049.4386
316,1203.1842
317,1305.6683
318,46.73168
319,679.40814
320,852.4244
321,1308.0536
322,1042.4547
323,1058.6036
324,1395.8025
325,2027.9076
326,1047.4818
327,420.56454
328,638.31616
329,878.68585
330,1052.0004
331,94.81666
332,523.9883
333,876.7141
334,1431.1466
335,48.901752
336,479.21976
337,1157.1345
338,1440.5211
339,529.3552
340,924.05817
341,497.3759
342,1322.6758
343,1855.3494
344,337.97333
345,854.34467
346,579.20306
347,226.02821
348,172.13548
349,1642.0874
350,541.62506
351,1301.5656
352,1621.1769
353,1675.3778
354,1826.6709
355,1676.498
356,1348.4775
357,1723.3215
358,1042.1097
359,1266.1895
360,1928.9104
361,423.46753
362,485.84738
363,1258.6854
364,1202.6422
365,237.91745
366,539.687
367,1656.9144
368,1830.8066
369,1945.9324
370,1710.5669
371,896.3923
372,1796.8937
373,890.0761
374,107.84343
375,955.33984
376,1381.638
377,1818.6876
378,429.15668
379,497.63577
380,982.2611
381,1784.2749
382,1408.3651
383,825.35693
384,397.76642
385,1788.2468
386,1816.8848
387,1623.3104
388,1238.5298
389,802.6143
390,1097.2926
391,431.46634
392,600.2576
393,1502.6172
394,715.00525
395,195.6381
396,952.485
397,1198.2386
398,1721.7224
399,1499.3207
400,770.5027
401,481.43942
402,1922.0062
403,1943.5568
404,1574.732
405,506.55414
406,1391.9191
407,1809.7633
408,1350.1549
409,234.48364
410,1851.836
411,1077.7047
412,1137.7855
413,1251.9116
414,684.12305
415,1954.174
416,1041.9435
417,225.77148
418,1827.7897
419,1885.9208
420,594.1456
421,1542.3604
422,797.7609
423,1519.6693
424,1340.6406
425,442.8503
